id,genre
TRAAAAW128F429D538,COUNTRY_TRADITIONAL
TRAAAHJ128F931194C,ROCK_CONTEMPORARY
TRAAAMQ128F1460CD3,HIP_HOP_RAP
TRAAAZU128F4226F7A,ROCK_CONTEMPORARY
TRAABFH128F92C812E,ROCK_CONTEMPORARY
TRAABHO12903D08576,ROCK_CONTEMPORARY
TRAABIG128F9356C56,POP_INDIE
TRAABNV128F425CEE1,JAZZ_CLASSIC
TRAABPK128F424CFDB,METAL_DEATH
TRAABTZ128F4278C48,COUNTRY_TRADITIONAL
TRAABWX128F1464374,POP_INDIE
TRAACLG128F4276511,DANCE
TRAACLV128F427E123,ROCK_CONTEMPORARY
TRAACOW128F933E35F,BLUES_CONTEMPORARY
TRAACPD128F931C3E7,BLUES_CONTEMPORARY
TRAACPH12903CF5F14,ROCK_HARD
TRAACQT128F9331780,ROCK_COLLEGE
TRAADED128F42741FD,COUNTRY_TRADITIONAL
TRAADHC128F4227F6B,DANCE
TRAADKW128E079503A,ROCK_CONTEMPORARY
TRAADKZ128F149BDFF,POP_INDIE
TRAADQX128F422B4CF,DANCE
TRAADXK12903CFAE92,BLUES_CONTEMPORARY
TRAAERZ128F1496921,POP_LATIN
TRAAESC128EF36760E,HIP_HOP_RAP
TRAAFCS128F92F9522,BLUES_CONTEMPORARY
TRAAFGQ128F427D884,BLUES_CONTEMPORARY
TRAAFOC128F4259332,POP_INDIE
TRAAFQL128F14AFDB4,BLUES_CONTEMPORARY
TRAAGAY128F423CD9B,JAZZ_CLASSIC
TRAAGCG128F421CC9F,HIP_HOP_RAP
TRAAGKS128F9314884,JAZZ_CLASSIC
TRAAGNS128E07824BD,BLUES_CONTEMPORARY
TRAAGOC128F425C5AE,JAZZ_CLASSIC
TRAAGPJ128F428CD1B,ROCK_CONTEMPORARY
TRAAGSZ12903CE35DE,ROCK_HARD
TRAAGVM128E0784D95,ROCK_NEO_PSYCHEDELIA
TRAAHEG128E07861C3,HIP_HOP_RAP
TRAAHER128F92D0354,COUNTRY_TRADITIONAL
TRAAHHO128F92F654C,HIP_HOP_RAP
TRAAHHZ128F429B6E5,HIP_HOP_RAP
TRAAHPF128F424091D,ROCK_HARD
TRAAHPY12903CBD4AE,METAL_ALTERNATIVE
TRAAHSY128F147BB5C,COUNTRY_TRADITIONAL
TRAAHVW128F149005E,BLUES_CONTEMPORARY
TRAAHWZ128F4269B1F,COUNTRY_TRADITIONAL
TRAAHYK128F932A08F,HIP_HOP_RAP
TRAAHZP12903CA25F4,HIP_HOP_RAP
TRAAIBM128F1497BC4,HIP_HOP_RAP
TRAAIBU128F4262EC6,HIP_HOP_RAP
TRAAIDR128F145A5C2,POP_INDIE
TRAAIFS128E0791341,ROCK_HARD
TRAAIGD12903CA2F3C,ROCK_CONTEMPORARY
TRAAITF12903CFE174,BLUES_CONTEMPORARY
TRAAIXG128F4297071,DANCE
TRAAJEK128F422F55A,POP_LATIN
TRAAJJE12903CC23A1,COUNTRY_TRADITIONAL
TRAAJJG128F4284B27,ROCK_HARD
TRAAJJO128F426B6AE,COUNTRY_TRADITIONAL
TRAAJLY128F42A04A1,POP_INDIE
TRAAJOU128E07872DF,POP_INDIE
TRAAJPG128F42292ED,POP_INDIE
TRAAJXQ128F42A316B,ROCK_HARD
TRAAKBQ12903CACE08,ROCK_HARD
TRAAKFF128F42B69BD,ROCK_HARD
TRAAKIU12903CBEF3A,POP_INDIE
TRAAKJU128F42667AC,ROCK_CONTEMPORARY
TRAAKYB128F4264670,ROCK_HARD
TRAALDI128EF35F6DD,JAZZ_CLASSIC
TRAALRL128F92EDA8A,ROCK_CONTEMPORARY
TRAALRZ128F429024E,BLUES_CONTEMPORARY
TRAALYN128F1452482,ROCK_HARD
TRAAMAI128F426A0AD,METAL_ALTERNATIVE
TRAAMCQ128F4259A2F,DANCE
TRAAMFG128F92FDEA2,JAZZ_CLASSIC
TRAAMFT128F93128AD,ROCK_HARD
TRAAMPA128F92E7D0D,DANCE
TRAAMRI128F932C16D,POP_INDIE
TRAAMUY128F4283222,ROCK_CONTEMPORARY
TRAAMXN128F148AD52,ROCK_CONTEMPORARY
TRAAMZV128F149A302,ROCK_CONTEMPORARY
TRAANBH128F9345A6C,METAL_ALTERNATIVE
TRAANJF12903CF11A0,ROCK_HARD
TRAANLO128F422AE37,ROCK_HARD
TRAANRJ128F931D72D,ROCK_HARD
TRAANRS128F92E4F27,COUNTRY_TRADITIONAL
TRAANTF128F42820D7,JAZZ_CLASSIC
TRAANWA128F426ADF0,HIP_HOP_RAP
TRAANZR128F4282FF4,DANCE
TRAAOGD128F421EC7D,JAZZ_CLASSIC
TRAAOGR128F425E7BF,ROCK_HARD
TRAAOMG12903CE86E2,METAL_DEATH
TRAAONI128F930931C,ROCK_CONTEMPORARY
TRAAOZS128F4283694,ROCK_CONTEMPORARY
TRAAPFE12903CF5DF4,METAL_ALTERNATIVE
TRAAPKN128F429CE4D,POP_INDIE
TRAAPKW128F428BC93,BLUES_CONTEMPORARY
TRAAPQX128F1473252,BLUES_CONTEMPORARY
TRAAPSN128F422B2F7,ROCK_HARD
TRAAPUG128F148955D,ROCK_CONTEMPORARY
TRAAQAL128F92EA7A7,COUNTRY_TRADITIONAL
TRAAQBZ128F14A44AE,ROCK_CONTEMPORARY
TRAAQKX128F428E76C,JAZZ_CLASSIC
TRAAQOU128F92D5955,JAZZ_CLASSIC
TRAAQPS128F429161D,ROCK_COLLEGE
TRAARAC128F933532B,ROCK_CONTEMPORARY
TRAARBJ128F9328B09,COUNTRY_TRADITIONAL
TRAARFN12903D08A8C,ROCK_HARD
TRAARIH128F146542C,DANCE
TRAARKG128F42AC406,COUNTRY_TRADITIONAL
TRAARMC128F92F4F42,ROCK_CONTEMPORARY
TRAAROA128F931663B,JAZZ_CLASSIC
TRAARPG128F424FECB,COUNTRY_TRADITIONAL
TRAARQN128E07894DF,METAL_DEATH
TRAARXB128F92FA0BF,METAL_ALTERNATIVE
TRAASFP128F42980BD,POP_CONTEMPORARY
TRAASWS128F4246B91,METAL_DEATH
TRAATGM12903C9CD7C,ROCK_HARD
TRAATHI128F42911AC,METAL_DEATH
TRAATNJ128F42631BA,METAL_ALTERNATIVE
TRAATPB128C719688E,ROCK_NEO_PSYCHEDELIA
TRAAUCV12903CCE66A,COUNTRY_TRADITIONAL
TRAAUEO128E0780CB9,METAL_ALTERNATIVE
TRAAUMN128F4273561,ROCK_HARD
TRAAUQF12903CC4A4D,ROCK_CONTEMPORARY
TRAAUSW128F426646E,DANCE
TRAAUZC128F92EF272,POP_INDIE
TRAAVHN12903CBC329,ROCK_CONTEMPORARY
TRAAVHQ128F42932F3,COUNTRY_TRADITIONAL
TRAAVIT128F92E657C,ROCK_HARD
TRAAVRU128F423EAE2,POP_INDIE
TRAAVSH128F42637AF,POP_INDIE
TRAAVWA128F145D887,HIP_HOP_RAP
TRAAVWV128F14A2BF4,COUNTRY_TRADITIONAL
TRAAVWW128EF35C893,JAZZ_CLASSIC
TRAAWAA12903CE1C8C,POP_INDIE
TRAAWCO128F423A29B,ROCK_HARD
TRAAWDC128F426D663,POP_INDIE
TRAAWGX128F42ACD07,HIP_HOP_RAP
TRAAWGY128F4298A09,ROCK_CONTEMPORARY
TRAAWUH128F427F12C,POP_INDIE
TRAAWYC128F1489A60,ROCK_CONTEMPORARY
TRAAXMF12903CFF0F2,BLUES_CONTEMPORARY
